DateKey,FullDate,DateName,DayNameOfWeek,DayOfMonth,WeekdayWeekend,MonthName,CalendarYear
20190829,8/28/2019,2019-08-28,Wednesday,28,Weekday,August,2019
20190830,8/29/2019,2019-08-29,Thursday,29,Weekday,August,2019
20190831,8/30/2019,2019-08-30,Friday,30,Weekday,August,2019
20190901,8/31/2019,2019-08-31,Saturday,31,Weekend,September,2019
20190902,9/1/2019,2019-09-01,Sunday,1,Weekend,September,2019
20190903,9/2/2019,2019-09-02,Monday,2,Weekday,September,2019
20190904,9/3/2019,2019-09-03,Tuesday,3,Weekday,September,2019
20190905,9/4/2019,2019-09-04,Wednesday,4,Weekday,September,2019
20190906,9/5/2019,2019-09-05,Thursday,5,Weekday,September,2019
20190907,9/6/2019,2019-09-06,Friday,6,Weekday,September,2019
20190908,9/7/2019,2019-09-07,Saturday,7,Weekend,September,2019
20190909,9/8/2019,2019-09-08,Sunday,8,Weekend,September,2019
20190910,9/9/2019,2019-09-09,Monday,9,Weekday,September,2019
20190911,9/10/2019,2019-09-10,Tuesday,10,Weekday,September,2019
20190912,9/11/2019,2019-09-11,Wednesday,11,Weekday,September,2019
20190913,9/12/2019,2019-09-12,Thursday,12,Weekday,September,2019
20190914,9/13/2019,2019-09-13,Friday,13,Weekday,September,2019
20190915,9/14/2019,2019-09-14,Saturday,14,Weekend,September,2019
20190916,9/15/2019,2019-09-15,Sunday,15,Weekend,September,2019
20190917,9/16/2019,2019-09-16,Monday,16,Weekday,September,2019
20190918,9/17/2019,2019-09-17,Tuesday,17,Weekday,September,2019
20190919,9/18/2019,2019-09-18,Wednesday,18,Weekday,September,2019
20190920,9/19/2019,2019-09-19,Thursday,19,Weekday,September,2019
20190921,9/20/2019,2019-09-20,Friday,20,Weekday,September,2019
20190922,9/21/2019,2019-09-21,Saturday,21,Weekend,September,2019
20190923,9/22/2019,2019-09-22,Sunday,22,Weekend,September,2019
20190924,9/23/2019,2019-09-23,Monday,23,Weekday,September,2019
20190925,9/24/2019,2019-09-24,Tuesday,24,Weekday,September,2019
20190926,9/25/2019,2019-09-25,Wednesday,25,Weekday,September,2019
20190927,9/26/2019,2019-09-26,Thursday,26,Weekday,September,2019
20190928,9/27/2019,2019-09-27,Friday,27,Weekday,September,2019
20190929,9/28/2019,2019-09-28,Saturday,28,Weekend,September,2019
20190930,9/29/2019,2019-09-29,Sunday,29,Weekend,September,2019
20191001,9/30/2019,2019-09-30,Monday,30,Weekday,October,2019
20191002,10/1/2019,2019-10-01,Tuesday,1,Weekday,October,2019
20191003,10/2/2019,2019-10-02,Wednesday,2,Weekday,October,2019
20191004,10/3/2019,2019-10-03,Thursday,3,Weekday,October,2019
20191005,10/4/2019,2019-10-04,Friday,4,Weekday,October,2019
20191006,10/5/2019,2019-10-05,Saturday,5,Weekend,October,2019
20191007,10/6/2019,2019-10-06,Sunday,6,Weekend,October,2019
20191008,10/7/2019,2019-10-07,Monday,7,Weekday,October,2019
20191009,10/8/2019,2019-10-08,Tuesday,8,Weekday,October,2019
20191010,10/9/2019,2019-10-09,Wednesday,9,Weekday,October,2019
20191011,10/10/2019,2019-10-10,Thursday,10,Weekday,October,2019
20191012,10/11/2019,2019-10-11,Friday,11,Weekday,October,2019
20191013,10/12/2019,2019-10-12,Saturday,12,Weekend,October,2019
20191014,10/13/2019,2019-10-13,Sunday,13,Weekend,October,2019
20191015,10/14/2019,2019-10-14,Monday,14,Weekday,October,2019
20191016,10/15/2019,2019-10-15,Tuesday,15,Weekday,October,2019
20191017,10/16/2019,2019-10-16,Wednesday,16,Weekday,October,2019
20191018,10/17/2019,2019-10-17,Thursday,17,Weekday,October,2019
20191019,10/18/2019,2019-10-18,Friday,18,Weekday,October,2019
20191020,10/19/2019,2019-10-19,Saturday,19,Weekend,October,2019
20191021,10/20/2019,2019-10-20,Sunday,20,Weekend,October,2019
20191022,10/21/2019,2019-10-21,Monday,21,Weekday,October,2019
20191023,10/22/2019,2019-10-22,Tuesday,22,Weekday,October,2019
20191024,10/23/2019,2019-10-23,Wednesday,23,Weekday,October,2019
20191025,10/24/2019,2019-10-24,Thursday,24,Weekday,October,2019
20191026,10/25/2019,2019-10-25,Friday,25,Weekday,October,2019
20191027,10/26/2019,2019-10-26,Saturday,26,Weekend,October,2019
20191028,10/27/2019,2019-10-27,Sunday,27,Weekend,October,2019
20191029,10/28/2019,2019-10-28,Monday,28,Weekday,October,2019
20191030,10/29/2019,2019-10-29,Tuesday,29,Weekday,October,2019
20191031,10/30/2019,2019-10-30,Wednesday,30,Weekday,October,2019
20191101,10/31/2019,2019-10-31,Thursday,31,Weekday,November,2019
20191102,11/1/2019,2019-11-01,Friday,1,Weekday,November,2019
20191103,11/2/2019,2019-11-02,Saturday,2,Weekend,November,2019
20191104,11/3/2019,2019-11-03,Sunday,3,Weekend,November,2019
20191105,11/4/2019,2019-11-04,Monday,4,Weekday,November,2019
20191106,11/5/2019,2019-11-05,Tuesday,5,Weekday,November,2019
20191107,11/6/2019,2019-11-06,Wednesday,6,Weekday,November,2019
20191108,11/7/2019,2019-11-07,Thursday,7,Weekday,November,2019
20191109,11/8/2019,2019-11-08,Friday,8,Weekday,November,2019
20191110,11/9/2019,2019-11-09,Saturday,9,Weekend,November,2019
20191111,11/10/2019,2019-11-10,Sunday,10,Weekend,November,2019
20191112,11/11/2019,2019-11-11,Monday,11,Weekday,November,2019
20191113,11/12/2019,2019-11-12,Tuesday,12,Weekday,November,2019
20191114,11/13/2019,2019-11-13,Wednesday,13,Weekday,November,2019
20191115,11/14/2019,2019-11-14,Thursday,14,Weekday,November,2019
20191116,11/15/2019,2019-11-15,Friday,15,Weekday,November,2019
20191117,11/16/2019,2019-11-16,Saturday,16,Weekend,November,2019
20191118,11/17/2019,2019-11-17,Sunday,17,Weekend,November,2019
20191119,11/18/2019,2019-11-18,Monday,18,Weekday,November,2019
20191120,11/19/2019,2019-11-19,Tuesday,19,Weekday,November,2019
20191121,11/20/2019,2019-11-20,Wednesday,20,Weekday,November,2019
20191122,11/21/2019,2019-11-21,Thursday,21,Weekday,November,2019
20191123,11/22/2019,2019-11-22,Friday,22,Weekday,November,2019
20191124,11/23/2019,2019-11-23,Saturday,23,Weekend,November,2019
20191125,11/24/2019,2019-11-24,Sunday,24,Weekend,November,2019
20191126,11/25/2019,2019-11-25,Monday,25,Weekday,November,2019
20191127,11/26/2019,2019-11-26,Tuesday,26,Weekday,November,2019
20191128,11/27/2019,2019-11-27,Wednesday,27,Weekday,November,2019
20191129,11/28/2019,2019-11-28,Thursday,28,Weekday,November,2019
20191130,11/29/2019,2019-11-29,Friday,29,Weekday,November,2019
